item,freq
48,12526
64,7477
32,7291
72,2387
24,2365
96,1721
120,906
144,580
60,520
40,466
36,411
84,374
128,364
192,290
108,275
16,250
168,234
240,214
132,191
80,162
160,154
12,145
156,112
112,106
56,105
180,96
28,95
216,93
288,73
20,71
360,70
204,63
264,57
100,49
49,46
10,45
8,44
65,42
480,41
76,40
256,40
320,38
208,37
176,36
104,35
44,34
52,34
88,33
224,33
228,33
33,32
384,31
136,31
47,31
50,30
46,27
68,26
124,26
62,25
70,24
252,24
92,23
43,22
600,22
97,21
312,21
63,20
58,20
276,19
152,17
14,17
336,16
22,15
30,15
78,15
116,15
145,15
13,15
25,14
146,14
432,14
408,14
61,14
66,14
42,13
81,13
272,13
6,13
129,13
73,13
121,12
34,12
98,12
184,12
94,12
300,12
74,11
51,11
86,11
90,11
324,11
57,11
31,11
59,10
26,10
348,10
456,10
45,10
67,10
54,10
110,9
99,9
372,9
396,9
142,9
53,9
102,9
38,9
241,9
17,9
528,8
106,8
304,8
143,8
140,8
150,8
109,8
133,8
481,8
1200,8
148,7
107,7
200,7
130,7
205,7
126,7
164,7
516,7
576,7
85,7
114,7
71,7
11,7
217,6
41,6
161,6
93,6
105,6
134,6
95,6
323,6
118,6
115,6
113,6
163,6
159,6
352,6
37,6
212,6
720,6
89,6
193,6
131,6
289,6
138,6
29,6
960,6
190,6
18,6
174,6
101,5
75,5
122,5
195,5
504,5
248,5
188,5
243,5
912,5
82,5
361,5
79,5
39,5
416,5
83,5
169,5
601,5
5,5
476,4
225,4
339,4
242,4
350,4
314,4
179,4
207,4
244,4
147,4
119,4
239,4
219,4
260,4
220,4
660,4
211,4
313,4
162,4
362,4
167,4
178,4
127,4
154,4
840,4
172,4
209,4
218,4
232,4
55,4
181,4
157,4
270,4
359,4
1201,4
91,4
7,4
15,4
135,3
296,3
341,3
194,3
111,3
151,3
226,3
490,3
608,3
254,3
375,3
277,3
166,3
125,3
196,3
900,3
420,3
250,3
238,3
397,3
69,3
236,3
258,3
227,3
368,3
257,3
259,3
401,3
19,3
552,3
266,3
35,3
123,3
170,3
103,3
197,3
153,3
201,3
87,3
27,3
165,2
282,2
340,2
149,2
155,2
346,2
291,2
327,2
674,2
517,2
77,2
612,2
544,2
141,2
222,2
577,2
465,2
588,2
183,2
310,2
529,2
186,2
996,2
173,2
444,2
231,2
269,2
234,2
564,2
137,2
672,2
512,2
2400,2
540,2
468,2
376,2
484,2
177,2
322,2
9,2
265,2
424,2
679,2
158,2
433,2
440,2
648,2
828,2
267,2
301,2
492,2
321,2
409,2
464,2
768,2
262,2
215,2
284,2
316,2
286,2
198,2
447,2
175,2
280,2
640,2
3200,2
191,2
189,2
171,2
733,1
496,1
1170,1
185,1
328,1
712,1
1416,1
508,1
800,1
329,1
338,1
497,1
2389,1
370,1
305,1
948,1
298,1
4500,1
237,1
337,1
330,1
386,1
924,1
758,1
524,1
139,1
187,1
202,1
457,1
275,1
398,1
199,1
594,1
23,1
624,1
3264,1
442,1
308,1
1281,1
1227,1
385,1
315,1
249,1
400,1
972,1
325,1
864,1
402,1
273,1
274,1
963,1
829,1
326,1
744,1
887,1
255,1
1428,1
853,1
780,1
1989,1
754,1
303,1
514,1
213,1
731,1
406,1
437,1
482,1
852,1
1206,1
625,1
1202,1
722,1
455,1
1507,1
1530,1
233,1
448,1
479,1
382,1
302,1
278,1
210,1
214,1
2220,1
1564,1
803,1
704,1
702,1
395,1
283,1
356,1
1440,1
710,1
637,1
677,1
418,1
268,1
515,1
1601,1
708,1
1207,1
1204,1
446,1
434,1
293,1
363,1
1203,1
493,1
445,1
1008,1
381,1
584,1
509,1
1205,1
387,1
3136,1
976,1
641,1
333,1
3201,1
373,1
696,1
752,1
461,1
422,1
628,1
221,1
292,1
349,1
1845,1
410,1
506,1
542,1
469,1
430,1
4160,1
15826,1
2589,1
485,1
669,1
678,1
281,1
571,1
383,1
319,1
1537,1
714,1
1512,1
1332,1
4032,1
294,1
1024,1
499,1
334,1
1711,1
478,1
247,1
21,1
4,1
2983,1
782,1
364,1
203,1
365,1
450,1
263,1
916,1
271,1
676,1
