item,freq
白居易,2643
杜甫,1158
李白,897
NA,843
齐己,783
刘禹锡,727
元稹,593
李商隐,555
贯休,553
韦应物,551
陆龟蒙,521
刘长卿,509
皎然,506
杜牧,485
许浑,482
罗隐,471
张籍,467
姚合,458
钱起,422
贾岛,406
孟郊,402
王建,395
岑参,388
韩愈,372
皮日休,353
王维,352
温庭筠,352
张祜,348
权德舆,339
方干,338
韦庄,336
杜荀鹤,326
卢纶,322
韩偓,316
郑谷,312
张说,298
戴叔伦,289
李中,287
吴融,285
李端,271
薛能,271
孟浩然,268
赵嘏,259
徐铉,249
徐夤,245
皇甫冉,242
李群玉,238
顾况,236
李贺,235
司空图,231
李峤,214
高適,208
李频,204
黄滔,198
施肩吾,196
周昙,195
张九龄,193
宋之问,192
武元衡,192
鲍溶,190
耿湋,181
王昌龄,180
李益,178
李咸用,177
储光羲,176
司空曙,174
沈佺期,171
柳宗元,169
马戴,168
朱庆馀,168
张乔,168
李洞,168
唐彦谦,167
韩翃,166
胡曾,166
无名氏,158
杨巨源,149
曹松,146
罗邺,143
刘得仁,139
许棠,138
李德裕,136
李嘉祐,135
李颀,130
李绅,127
骆宾王,124
雍陶,124
戎昱,118
刘商,112
陈陶,111
卢照邻,109
李涉,108
吕岩,107
苏颋,106
曹邺,106
吕温,104
刘沧,102
张蠙,102
崔涂,101
项斯,98
无可,98
羊士谔,95
周贺,93
卢仝,92
薛逢,92
徐凝,92
元结,91
陈子昂,90
李世民,89
李建勋,89
独孤及,82
王勃,81
欧阳詹,80
殷尧藩,79
李山甫,78
薛涛,78
吴筠,77
孙元晏,75
刘驾,74
章孝标,73
刘兼,73
郎士元,72
顾非熊,72
刘言史,71
李郢,71
于鹄,70
严维,69
崔道融,68
李隆基,67
王贞白,67
喻凫,66
陈羽,62
牟融,62
杨衡,61
孙逖,61
汪遵,60
王周,53
崔国辅,52
常建,52
令狐楚,52
裴说,52
于武陵,51
段成式,51
皇甫曾,50
于濆,49
张继,49
高骈,49
鱼玄机,49
武则天,48
包佶,48
崔颢,48
崔峒,48
周朴,46
李乂,44
聂夷中,43
贾至,43
王绩,43
灵一,43
杜审言,41
张谓,41
曹唐,41
窦巩,40
裴夷直,40
谭用之,40
杨凝,39
储嗣宗,39
司马扎,39
李煜,38
秦韬玉,38
虞世南,38
秦系,38
徐彦伯,37
祖咏,37
陆畅,37
魏徵,36
孙光宪,36
李远,36
唐求,36
褚亮,35
李昌符,35
崔湜,34
于邺,34
刘希夷,33
高蟾,33
杨炯,33
姚鹄,33
邵谒,33
林宽,33
尚颜,33
王涯,32
冯延巳,32
张泌,32
雍裕之,31
翁承赞,31
孟贯,31
张仲素,30
颜真卿,30
熊孺登,30
崔橹,30
裴度,29
刘方平,29
李百药,29
裴迪,29
郑巢,29
卢肇,29
来鹄,29
苏拯,29
杜光庭,29
许敬宗,28
殷文圭,28
刘宪,27
朱放,27
张南史,27
刘叉,27
刘威,27
修睦,27
欧阳炯,26
卢象,26
綦毋潜,26
窦常,26
沈亚之,26
章碣,26
郑愔,25
子兰,25
韩琮,25
和凝,25
窦群,23
朱湾,23
杨师道,22
乔知之,22
长孙佐辅,22
孙鲂,22
赵彦昭,22
周繇,22
伍乔,22
清江,22
毛文锡,22
孟云卿,21
上官仪,21
贺知章,21
杨凌,21
张鷟,21
窦牟,21
陆希声,21
窦庠,20
许彬,20
成彦雄,20
董思恭,19
皇甫松,19
萧颖士,19
包何,19
杨凭,19
李九龄,19
胡宿,19
李冶,19
沈彬,18
陶翰,18
张子容,18
郭震,18
孟迟,18
喻坦之,18
任翻,18
灵澈,18
刘昚虚,17
王翰,17
王毂,17
李珣,17
崔融1,17
李適,17
赵冬曦,17
张又新,17
王初,17
顾夐,17
法振,17
李适,16
徐氏,16
武平一,16
崔曙,16
梁锽,16
刘复,16
朱景玄,16
张贲,16
广宣,16
栖白,16
翁绶,15
李华,15
阎朝隐,15
牛峤,15
苏味道,15
畅当,15
张碧,15
郑畋,15
褚载,15
王仁裕,15
刘昭禹,15
蒋吉,15
郑遨,15
虚中,15
薛稷,14
卢延让,14
崔日用,13
庄南杰,13
丁仙芝,13
陈子良,13
卢僎,13
张谔,13
丘为,13
李纾,13
薛据,13
王季友1,13
丘丹,13
卢殷,13
陈标,13
杨发,13
翁洮,13
毛熙震,13
马怀素,12
徐安贞,12
柳中庸,12
薛存诚,12
韦处厚,12
陈去疾,12
蒋防,12
薛莹,12
吴仁璧,12
孔德绍,12
