item,freq
句,185
古意,41
长门怨,28
七夕,28
塞下曲,26
送别,24
柳,23
牡丹,23
从军行,21
行路难,21
奉和九月九日登慈恩寺浮图应制,21
关山月,19
寄远,19
宫词,18
惜花,18
偶题,18
和主司王起（一作和主司酬周侍郎）,18
相和歌辞·长门怨,17
杂曲歌辞·杨柳枝,17
少年行,17
晦日宴高氏林亭,17
巫山高,16
折杨柳,16
早行,16
九日,16
雨,16
竹,16
塞上,16
失题,16
送僧,16
赠毛仙翁,16
偶作,16
中秋月,16
菩萨蛮,16
相和歌辞·王昭君,15
咏怀,15
云,15
闲居,15
秋思,15
寄友人,15
春秋战国门·再吟,15
横吹曲辞·折杨柳,14
月,14
松,14
铜雀妓,14
公子行,14
落花,14
临江仙,14
除夜,13
相和歌辞·江南曲,13
相和歌辞·从军行,13
雪,13
采莲曲,13
山居,13
寓言,13
浣溪沙,13
横吹曲辞·出塞,12
相和歌辞·铜雀妓,12
杂曲歌辞·妾薄命,12
奉和圣制送张说巡边,12
绝句,12
早春,12
自遣,12
渔父,12
遣怀,12
华清宫,12
酒泉子,12
横吹曲辞·关山月,11
蝉,11
妾薄命,11
咏史,11
奉和送金城公主适西蕃应制,11
长相思,11
寒食,11
书怀,11
春雪,11
杂诗,11
塞上曲,11
江行,11
遣兴,11
即事,11
无题,11
赠道者,11
杏花,11
鹦鹉,11
木兰花,11
旅怀,11
女冠子,11
杂曲歌辞·行路难,10
王昭君,10
奉和幸安乐公主山庄应制,10
婕妤怨,10
山中,10
诗,10
歌,10
铜雀台,10
闺怨,10
夜坐,10
长安道,10
古兴,10
闺情,10
短歌行,10
对酒,10
秋夕,10
小苑春望宫池柳色,10
有感,10
赠僧,10
鹭鸶,10
赠别,10
乐府杂曲·鼓吹曲辞·巫山高,9
横吹曲辞·长安道,9
相和歌辞·婕妤怨,9
出塞,9
奉和圣制夏日游石淙山,9
饯唐永昌,9
鹤,9
祭汾阴乐章,9
早朝,9
古别离,9
春怨,9
享太庙乐章,9
言怀,9
春雨,9
感兴,9
金陵怀古,9
忆江南,9
和三乡诗,9
虞美人,9
更漏子,9
感怀,8
梅花,8
相和歌辞·铜雀台,8
相和歌辞·采莲曲,8
杂曲歌辞·古离别,8
战城南,8
兴庆池侍宴应制,8
春游,8
风,8
菊,8
梅,8
燕,8
晦日重宴,8
仪坤庙乐章,8
杂兴,8
春词,8
早梅,8
登楼,8
喜雨,8
早发,8
对雪,8
子规,8
送友人游蜀,8
送人,8
听琴,8
寓兴,8
赋得春风扇微和,8
杨柳枝,8
自咏,8
送春,8
春日,8
河传,8
横吹曲辞·陇头水,7
相和歌辞·乌夜啼,7
杂曲歌辞·古别离,7
陇头水,7
昭君怨,7
夜宴安乐公主宅,7
有所思,7
江南曲,7
饯唐州高使君赴任,7
雁,7
咏月,7
奉和圣制送张尚书巡边,7
空城雀,7
送友人,7
望夫石,7
闻雁,7
早起,7
归雁,7
夜雨,7
秋日,7
感春,7
柳絮,7
赠友人,7
桃花,7
长城,7
闻蝉,7
送人南游,7
鸳鸯,7
赠隐者,7
金钱花,7
芳草,7
应天长,7
清平乐,7
生查子,7
元日,6
乐府杂曲·鼓吹曲辞·芳树,6
乐府杂曲·鼓吹曲辞·有所思,6
相和歌辞·短歌行,6
相和歌辞·猛虎行,6
相和歌辞·饮马长城窟行,6
相和歌辞·怨诗,6
杂曲歌辞·少年行,6
杂曲歌辞·独不见,6
杂歌谣辞·步虚词,6
安德山池宴集,6
结客少年场行,6
独酌,6
骢马,6
紫骝马,6
芳树,6
奉和圣制春日幸望春宫应制,6
露,6
萤,6
奉和初春幸太平公主南庄应制,6
饯许州宋司马赴任,6
奉和春日幸望春宫应制,6
采桑,6
晚春,6
送客,6
洛阳道,6
江南行,6
苦热,6
田家,6
蔷薇,6
悲哉行,6
放歌行,6
塞下,6
独不见,6
春思,6
秋夜,6
自君之出矣,6
所思,6
金谷园,6
长信宫,6
边思,6
残花,6
新竹,6
劝酒,6
苦雨,6
新秋,6
早蝉,6
曲江,6
湘妃庙,6
惜春,6
寓题,6
述怀,6
题壁,6
吟,6
谒金门,6
琵琶,5
观棋,5
郊庙歌辞·五郊乐章·肃和,5
郊庙歌辞·五郊乐章·雍和,5
郊庙歌辞·五郊乐章·舒和,5
郊庙歌辞·五郊乐章·送神,5
杂曲歌辞·结客少年场行,5
杂曲歌辞·自君之出矣,5
杂曲歌辞·竹枝,5
杂曲歌辞·桃花行,5
五郊乐章·肃和,5
五郊乐章·雍和,5
五郊乐章·舒和,5
临高台,5
阙题,5
野望,5
醉后,5
上之回,5
奉和立春游苑迎春应制,5
奉和圣制龙池篇,5
奉和人日清晖阁宴群臣遇雪应制,5
秋怀,5
奉和幸三会寺应制,5
奉和幸长安故城未央宫应制,5
苑中遇雪应制,5
侍宴长宁公主东庄应制,5
奉和幸韦嗣立山庄侍宴应制,5
幸白鹿观应制,5
琴,5
侍宴桃花园咏桃花应制,5
咏云,5
夜宴安乐公主新宅,5
大堤曲,5
长歌行,5
春草,5
终南山,5
观猎,5
古离别,5
秋兴,5
乌栖曲,5
岳阳楼,5
凉州词,5
公无渡河,5
送舍弟,5
西施,5
夏日,5
感事,5
池上,5
送宫人入道,5
怀素上人草书歌,5
晓望,5
猿,5
秋怨,5
山中作,5
过商山,5
宫人斜,5
晚望,5
塞上曲二首,5
宫怨,5
留别,5
别友人,5
新柳,5
鸡鸣曲,5
闲居即事,5
小松,5
闰月定四时,5
和段相公登武担寺西台,5
看花,5
偶作二首,5
抛球乐,5
投所知,5
老将,5
闲游,5
偶书,5
赠王山人,5
秋晚,5
春风,5
赋得玉水记方流,5
偶题二首,5
荐冰,5
望思台,5
赠边将,5
下第,5
题僧壁,5
采莲,5
隋堤柳,5
蝶,5
惊秋,5
题甘露寺,5
宿山寺,5
边将,5
孤雁,5
风光草际浮,5
重联句一首,5
定西番,5
江城子,5
何满子,5
喜雪,4
咏风,4
咏雨,4
咏雪,4
奉和圣制过温汤,4
郊庙歌辞·祭方丘乐章·顺和,4
郊庙歌辞·周朝飨乐章·忠顺,4
横吹曲辞·紫骝马,4
相和歌辞·公无渡河,4
相和歌辞·采桑,4
相和歌辞·昭君词,4
相和歌辞·野田黄雀行,4
相和歌辞·胡无人行,4
相和歌辞·长门怨二首,4
相和歌辞·宫怨,4
相和歌辞·乌栖曲,4
相和歌辞·大堤曲,4
琴曲歌辞·别鹤,4
杂曲歌辞·苦热行,4
杂曲歌辞·少年行三首,4
杂曲歌辞·鸣雁行,4
杂曲歌辞·空城雀,4
杂曲歌辞·车遥遥,4
杂曲歌辞·长相思,4
杂歌谣辞·渔父歌,4
杂歌谣辞·李夫人歌,4
七夕赋咏成篇,4
咏萤,4
独坐,4
奉和太子纳妃太平公主出降,4
江上,4
途中,4
洞庭湖,4
缑山庙,4
筝,4
帘,4
鹊,4
莺,4
奉和圣制幸韦嗣立山庄应制,4
奉和圣制同二相已下群官乐游园宴,4
奉和圣制答张说扈从南出雀鼠谷,4
拟古,4
侍宴安乐公主新宅应制,4
上巳日祓禊渭滨应制,4
上元夜效小庾体,4
胡无人行,4
苦寒行,4
胡笳曲,4
题汉州西湖,4
游栖霞寺,4
青雀歌,4
白牡丹,4
叹白发,4
山居即事,4
书事,4
相逢行,4
田家即事,4
渔父歌,4
少年行二首,4
途中作,4
燕歌行,4
宿天竺寺,4
洛出书,4
春情,4
春晓,4
乌夜啼,4
将进酒,4
白头吟,4
对雨,4
冬夜,4
月夜,4
升仙桥,4
客中作,4
湘灵鼓瑟,4
昭德皇后挽歌词,4
泛溪,4
晚晴,4
归燕,4
江村,4
岁暮,4
远游,4
摇落,4
送僧归日本,4
喜陆侍御破石埭草寇东峰亭赋诗,4
玉壶冰,4
思归,4
春日即事,4
上巳日,4
山行,4
小雪,4
御沟新柳,4
曲江春望,4
清明日赐百僚新火,4
照镜,4
禁中春松,4
唐昌观玉蕊花,4
泉,4
长安早春,4
落叶,4
送迁客,4
龙池春草,4
游烂柯山,4
享文恭太子庙乐章,4
听歌,4
奉陪武相公西亭夜宴陆郎中,4
春色满皇州,4
晓,4
奉陪段相公晚夏登张仪楼,4
塞下曲二首,4
贡院楼北新栽小松,4
赠人,4
塞上行,4
庭竹,4
韩信庙,4
车遥遥,4
自叹,4
春愁,4
送蜀客,4
题僧院,4
新月,4
自问,4
四皓庙,4
酒醒,4
寒食夜,4
感时,4
白发,4
闲吟,4
长安春,4
紫薇花,4
晨兴,4
失鹤,4
偶吟,4
春寒,4
感旧,4
杨柳枝词,4
南池,4
