item,freq
，,233161
。,230692
不,26416
人,20914
山,15997
无,15776
风,15634
一,15216
日,14892
云,13360
有,12670
何,12368
来,12278
天,12173
中,11405
时,11348
花,11281
上,11096
春,11051
水,11036
月,10940
相,9660
年,9538
为,9489
生,9395
君,9324
长,9149
心,9049
自,9008
如,8736
知,8651
白,8447
归,8335
此,8109
秋,8079
行,7936
见,7830
去,7759
清,7511
夜,7467
在,7416
江,7413
空,7349
得,7304
下,7302
高,7179
里,6995
未,6980
明,6804
金,6619
多,6595
门,6544
青,6478
处,6445
是,6443
客,6411
寒,6293
子,6210
落,6206
声,6195
玉,6146
千,6089
三,6039
家,5999
今,5980
雨,5939
道,5895
远,5879
事,5873
朝,5773
前,5763
万,5739
南,5738
出,5649
路,5555
飞,5534
入,5517
我,5499
东,5498
城,5439
草,5419
尽,5390
深,5362
与,5322
新,5318
流,5302
烟,5295
开,5269
树,5269
思,5239
别,5086
已,5073
回,5055
地,5035
酒,4990
欲,4990
将,4978
色,4975
谁,4975
马,4968
西,4968
还,4944
应,4845
可,4810
独,4745
闻,4719
成,4715
闲,4698
光,4663
更,4591
重,4587
向,4587
同,4491
阳,4490
雪,4458
身,4455
石,4435
望,4409
香,4385
看,4365
满,4333
游,4332
愁,4314
海,4285
老,4203
书,4202
情,4194
林,4185
衣,4176
从,4166
红,4085
古,4082
歌,4081
头,4074
难,4011
尘,3991
方,3901
楼,3879
龙,3841
复,3840
莫,3828
似,3809
旧,3805
能,3800
黄,3799
名,3778
犹,3737
分,3687
作,3628
后,3623
平,3580
到,3574
气,3566
当,3559
叶,3540
言,3536
鸟,3499
仙,3496
过,3484
间,3472
十,3464
发,3424
几,3412
离,3388
亦,3364
松,3359
王,3334
初,3312
北,3302
台,3295
起,3285
意,3276
外,3261
五,3260
非,3251
华,3250
边,3223
竹,3220
诗,3215
百,3187
大,3142
随,3131
公,3119
故,3108
暮,3100
梦,3091
宫,3077
安,3064
然,3062
醉,2991
吟,2985
少,2984
孤,2974
晚,2957
枝,2954
汉,2952
国,2951
露,2947
野,2933
文,2927
柳,2927
神,2926
阴,2906
世,2902
之,2886
终,2876
坐,2809
所,2794
霜,2778
若,2775
碧,2768
好,2763
绿,2762
幽,2761
关,2750
轻,2745
临,2741
逢,2741
河,2726
波,2721
留,2714
岁,2713
问,2710
微,2699
四,2697
芳,2686
泉,2677
半,2675
连,2665
池,2630
乡,2612
共,2567
影,2547
九,2545
岂,2541
须,2539
期,2520
小,2519
翠,2518
近,2518
馀,2505
曲,2496
因,2493
庭,2465
惊,2459
经,2452
照,2451
两,2448
断,2445
乐,2434
吹,2420
双,2405
溪,2395
遥,2382
动,2359
残,2344
晓,2336
曾,2325
正,2313
寻,2307
忆,2301
物,2295
对,2292
垂,2265
静,2260
苦,2260
却,2258
舟,2258
居,2244
悲,2244
鹤,2218
笑,2210
木,2194
先,2187
沙,2183
才,2177
者,2171
楚,2169
峰,2164
紫,2163
夕,2148
鸣,2135
星,2131
凤,2126
常,2106
语,2106
依,2104
和,2098
苍,2097
又,2087
只,2086
久,2084
怜,2081
泪,2073
唯,2072
鱼,2070
忽,2068
以,2067
浮,2062
车,2061
至,2053
登,2047
通,2040
景,2030
官,2023
二,2020
恩,2009
且,2008
宿,1998
数,1995
传,1995
早,1992
听,1989
转,1983
爱,1976
雁,1971
合,1971
堪,1961
女,1960
真,1948
散,1938
怀,1936
陵,1933
虚,1923
寂,1923
绝,1921
送,1915
灵,1900
使,1894
丹,1893
园,1886
病,1877
川,1869
恨,1868
疏,1866
吾,1863
萧,1862
堂,1859
舞,1854
帝,1850
主,1842
寄,1824
穷,1824
秦,1812
其,1804
州,1789
火,1785
昔,1780
节,1777
窗,1774
太,1767
觉,1766
死,1766
悠,1762
足,1753
兴,1748
乱,1746
皆,1743
手,1739
兮,1726
暗,1724
始,1720
亲,1716
待,1706
容,1702
霞,1699
带,1696
迟,1696
田,1694
罗,1693
往,1684
珠,1680
僧,1679
阁,1671
凉,1670
会,1660
于,1656
信,1652
晴,1650
休,1642
画,1642
兰,1641
剑,1637
湖,1636
虽,1622
尚,1613
桃,1613
首,1608
识,1606
度,1605
隔,1604
燕,1604
逐,1603
胜,1603
圣,1594
征,1591
功,1590
隐,1589
辞,1588
洞,1585
直,1576
斜,1567
夫,1565
群,1565
移,1556
绕,1556
含,1552
岸,1547
士,1545
亭,1539
步,1529
儿,1529
愿,1527
徒,1524
谢,1524
贤,1521
杯,1519
伤,1518
欢,1515
丝,1502
胡,1500
浪,1496
令,1491
学,1480
倚,1480
争,1478
颜,1471
军,1468
琴,1467
结,1466
羽,1462
卧,1454
寺,1451
皇,1449
拂,1447
解,1446
疑,1440
荒,1437
尔,1436
师,1433
立,1428
朱,1427
横,1423
桂,1421
眼,1421
贵,1420
郎,1415
镜,1414
忧,1413
殿,1410
用,1410
化,1398
锦,1398
吴,1395
交,1387
食,1386
飘,1385
翻,1380
塞,1378
啼,1377
便,1377
乘,1371
